relation	probability	sentence	left_entity	left_entity_tag	left_entity_span	right_entity	right_entity_tag	right_entity_span
TeRP	0.9983	As the CXR was without any evidence of PNA , or PTX , the pt subsequently received a CTA to evaluate for PE which revealed multifocal bilateral PNA but no PE .	a cta	[TEST]	83_88	multifocal bilateral pna	[PROBLEM]	123_147
TeRP	0.9988	An magnetic resonance imaging study showed basilar artery disease , questionable aneurysm .	an magnetic resonance imaging study	[TEST]	0_35	aneurysm	[PROBLEM]	81_89
PIP	0.9997	Epiglottitis / supraglottitis .	epiglottitis	[PROBLEM]	0_12	supraglottitis	[PROBLEM]	15_29
TrAP	0.9979	Mr. Lockley is a 73 yo male with a complicated past medical history , recently discharged from St. Margaret 's Center for Women & Infants on 08-02 following a prolonged admission for STEMI , respiratory failure felt secondary to pulmonary edema requiring intubation and subsequent tracheostomy 02-22 failure to wean , sepsis and C.difficile colitis treated with Vancomycin and Flagyl with a course of Levophed .	flagyl	[TREATMENT]	377_383	c.difficile colitis	[PROBLEM]	329_348
TrIP	0.9710	The patient was started on Clindamycin intravenous and Cefuroxime intravenous with clearing of his fever but persistence of cough , choking , and intermittently many coarse rales in his base with no clearing by x-ray .	cefuroxime intravenous	[TREATMENT]	55_77	choking	[PROBLEM]	132_139
TrCP	0.9917	However , tube placement was complicated by renal artery puncture , afib , and increased dyspnea .	tube placement	[TREATMENT]	10_24	increased dyspnea	[PROBLEM]	79_96
TrAP	0.9989	Then , on 05-29 , she demonstrated bilateral pleural effusions ( reaccumulated ), right lower lobe infiltrate ( started on vanco / zosyn )-> put on face mask , given lasix x 1 bolus 100 mg , responded somewhat and o2 sat stable in low 90 s.	zosyn	[TREATMENT]	131_136	right lower lobe infiltrate	[PROBLEM]	82_109
PIP	0.9997	She had some mental status changes with confusion and hallucinations on 06/18 originating from narcotics versus decreased pO2 .	decreased po2	[PROBLEM]	112_125	hallucinations	[PROBLEM]	54_68
TeRP	0.9989	EKG showed question of MAT vs. atrial fibrillation with a ventricular response of 118 , axis was 0 degrees .	ekg	[TEST]	0_3	mat	[PROBLEM]	23_26
TeRP	0.9989	A neurological examination was performed which revealed no abnormality and imaging included a head scan which revealed no bleed and a cervical spine series which revealed degenerative joint disease but no obvious fracture .	a neurological examination	[TEST]	0_26	abnormality	[PROBLEM]	59_70
TeRP	0.9989	The heart examination revealed that the patient had a sustained PMI which was located in the left mid clavicular line , S1 , near complete obliteration of the second heart sound by a two out of six high pitched murmur peaking at mid to late systole and heard across the precordium .	the heart examination	[TEST]	0_21	a sustained pmi	[PROBLEM]	52_67
PIP	0.9997	57 y/o F with multiple medical problems including polyendocrine deficiency comprised of adrenal insufficiency , DM , premature ovarian failure , hypoparathyroidism , addison 's disease and also breast CA and depression with multiple suicide attempts in the past who originally presented s/p tylenol with codeine overdose and hypotension , was intubated and admitted to the FICU .	multiple medical problems	[PROBLEM]	14_39	addison 's disease	[PROBLEM]	166_184
PIP	0.9997	The patient has a history of high MCV and megaloblastic cells on smear in the setting of anemia ; question B12 deficiency , the patient also has a history of borderline low B12 levels .	anemia	[PROBLEM]	89_95	high mcv	[PROBLEM]	29_37
TrCP	0.9928	The patient is allergic to Ciprofloxacin , morphine sulfate and Droperidol .	droperidol	[TREATMENT]	64_74	allergic	[PROBLEM]	15_23
TeRP	0.9988	Chest x-ray demonstrating pulmonary edema .	chest x-ray	[TEST]	0_11	pulmonary edema	[PROBLEM]	26_41
TrAP	0.9978	Vasotec 5 mg PO b.i.d. , Isordil 10 mg PO q.i.d. , Ticlopidine 50 mg PO b.i.d. , Metoprolol 50 mg PO b.i.d. , Ciprofloxacin 500 mg PO q12h x seven days , nitroglycerin 0.3 mg sublingually prn chest pain .	nitroglycerin	[TREATMENT]	154_167	chest pain	[PROBLEM]	192_202
TrIP	0.9714	2. Exaggerated physiologic hyperbilirubinemia responsive to phototherapy .	phototherapy	[TREATMENT]	60_72	exaggerated physiologic hyperbilirubinemia	[PROBLEM]	3_45
TrAP	0.9407	This 88-year-old male with history of prostate CA was admitted from an outside hospital secondary to persistent hematuria status post nephrostomy tube placement transferred to Retelk County Medical Center for further management .	nephrostomy tube placement	[TREATMENT]	134_160	prostate ca	[PROBLEM]	38_49
TeRP	0.9989	An angiogram was done which disclosed possible subsegmental pulmonary emboli of the upper lobes as well as infiltrates consistent with aspiration pneumonia .	an angiogram	[TEST]	0_12	infiltrates	[PROBLEM]	107_118
TrCP	0.9931	The likely cause of the delirium was a combination of surgery and Intensive Care Unit stay in addition to poly-pharmacy .	poly-pharmacy	[TREATMENT]	106_119	the delirium	[PROBLEM]	20_32
TeRP	0.9970	O2 95% on 3L NC mixed Quinn 82% genrl : in nad , resting comfortably heent : perrla ( 4->3 mm ) bilaterally , blind in right visual field , eomi , dry mm , ? thrush neck : no bruits cv : rrr , no m/r/g , faint s1/s2 pulm : cta bilaterally abd : midline scar ( from urostomy ) , nabs , soft , appears distended but patient denies , ostomy RLQ c/d/i , NT to palpation back : right flank urostomy tube , c/d/i , nt to palpation extr : no Gardner neuro : a , ox3 , wiggles toes bilaterally , unable to lift LE , 06-12 grip bilaterally w/ UE , decrease sensation to soft touch in left	palpation	[TEST]	415_424	nt	[PROBLEM]	409_411
PIP	0.9997	The biopsy subsequently demonstrated a hyperplastic polyp with acute and chronic inflammation and erosion and reactive epithelial changes but no dysplasia .	a hyperplastic polyp	[PROBLEM]	37_57	dysplasia	[PROBLEM]	145_154
PIP	0.9996	68M with multiple vascular risk factors presents with acute onset right-sided hemiparesis and dysarthria , aphasia concerning for acute left MCA infarct .	acute left mca infarct	[PROBLEM]	130_152	acute onset right-sided hemiparesis	[PROBLEM]	54_89
PIP	0.9996	7. Anemia of prematurity .	prematurity	[PROBLEM]	13_24	anemia	[PROBLEM]	3_9
PIP	0.9995	Medium hiatal hernia , Barrett's esophagus , erosion of the gastroesophageal junction , granularity , erythema and congestion of the antrum in the pre-pyloric region compatible with gastritis .	gastritis	[PROBLEM]	182_191	medium hiatal hernia	[PROBLEM]	0_20
TrAP	0.9992	- colon cancer with mets to liver s/p resection 09-07 .	resection	[TREATMENT]	38_47	colon cancer	[PROBLEM]	2_14
PIP	0.9997	The patient is a 65 year old female with post thoracotomy syndrome that occurred on the site of her thoracotomy incision .	post thoracotomy syndrome	[PROBLEM]	41_66	her thoracotomy incision	[PROBLEM]	96_120
PIP	0.9996	diabetic gastropathy causing inability to toleral oral antihypertensive medication prompting repeated Donald presentation for hypertensive urgency .	inability to toleral oral antihypertensive medication	[PROBLEM]	29_82	diabetic gastropathy	[PROBLEM]	0_20
PIP	0.9997	The sagittal T1 images demonstrate several areas of high signal along the sulci bilaterally which could be secondary to subarachnoid hemorrhages .	high signal along the sulci bilaterally	[PROBLEM]	52_91	subarachnoid hemorrhages	[PROBLEM]	120_144
TrCP	0.9937	The procedure proceeded without complications , and the patient was transferred to the intensive care unit while still intubated following the procedure .	the procedure	[TREATMENT]	0_13	complications	[PROBLEM]	32_45
TeRP	0.9989	A chest x-ray showed clearing of the opacities in the chest x-ray that were consistent with pulmonary edema because he continued to have some abnormality in the right lower lobe .	the chest x-ray	[TEST]	50_65	pulmonary edema	[PROBLEM]	92_107
TeRP	0.9989	A chest x-ray in the Oaksgekesser/ Memorial Hospital Emergency Room showed new changes on his chest x-ray on top of his usual severe bilateral emphysema_____ with scarring in both lungs .	a chest x-ray	[TEST]	0_13	his usual severe bilateral emphysema_____	[PROBLEM]	116_157
TeRP	0.9989	A thyroid scan revealed decreased function and displacement of the thyroid by a cold mass located inferiorly with calcifications on the right side .	a thyroid scan	[TEST]	0_14	a cold mass	[PROBLEM]	78_89
TeCP	0.9861	Blood cultures were done for a possible rectosigmoid mass or fistula and a CT showed questionable abscess versus tumor in the left lower quadrant .	blood cultures	[TEST]	0_14	fistula	[PROBLEM]	61_68
TrAP	0.9984	The patient overall continued to improve , but remained physically decompensated and the patient was transferred to Waltham/Weston Hospital Rehabilitation Hospital for intensive physical therapy .	intensive physical therapy	[TREATMENT]	168_194	physically decompensated	[PROBLEM]	56_80
TrAP	0.9992	If there is clear drainage from your incisions , cover with a dry dressing .	a dry dressing	[TREATMENT]	60_74	clear drainage	[PROBLEM]	12_26
PIP	0.9996	His stools were noted to be Guaiac positive at the outside hospital and there was still concern for possible GI bleed given continued Guaiac positive stools during this admission and a slight drop in his hematocrit from 39 to 33 .	gi bleed	[PROBLEM]	109_117	guaiac positive stools	[PROBLEM]	134_156
TeRP	0.9914	In 1984 , he had the right knee aspirated and was noted to have some uric acid crystals , although serum uric acid was normal and erythrocyte sedimentation rate .	serum uric acid	[TEST]	99_114	uric acid crystals	[PROBLEM]	69_87
TrAP	0.9991	# Recurrent ascites : On the medical floor , pt had a large volume paracentesis ( 6 liters ) followed by replacement with albumin .	a large volume paracentesis	[TREATMENT]	52_79	recurrent ascites	[PROBLEM]	2_19
PIP	0.9997	They felt it was most likely a malignant lymphangitic spread with pericardial involvement versus infectious , other cardiovascular causes , or viral bronchiolitis .	a malignant lymphangitic spread	[PROBLEM]	29_60	other cardiovascular causes	[PROBLEM]	110_137
TeRP	0.9980	He was subsequently restared on Vancomycin for Corynebacterium in blood cx from Fri ; Followup cx has been NGTD .	blood cx	[TEST]	66_74	corynebacterium	[PROBLEM]	47_62
PIP	0.9997	malignant fibrous histiocytoma of duodenum , metastases to liver , anemia .	metastases to liver	[PROBLEM]	45_64	malignant fibrous histiocytoma of duodenum	[PROBLEM]	0_42
PIP	0.9996	This was a non-Q wave myocardial infarction as there were no diagnostic electrocardiogram changes .	diagnostic electrocardiogram changes	[PROBLEM]	61_97	a non-q wave myocardial infarction	[PROBLEM]	9_43
TeRP	0.9989	Carotid angiography revealed left internal carotid stenosis of 90% , right internal carotid artery &quot; critical stenosis &quot; .	carotid angiography	[TEST]	0_19	left internal carotid stenosis of 90%	[PROBLEM]	29_66
TrNAP	0.9583	The Keflex was stopped when she developed the diarrhea .	the keflex	[TREATMENT]	0_10	the diarrhea	[PROBLEM]	42_54
TeRP	0.9979	Blood cultures were done for a possible rectosigmoid mass or fistula and a CT showed questionable abscess versus tumor in the left lower quadrant .	a ct showed	[TEST]	73_84	tumor in the left lower quadrant	[PROBLEM]	113_145
TeRP	0.9988	His urinalysis showed marked occult blood and positive white blood cell screen but was otherwise negative .	his urinalysis	[TEST]	0_14	marked occult blood	[PROBLEM]	22_41
TrAP	0.9987	Given this finding it was felt that the patient would certainly need long term intravenous antibiotics to include at least six weeks of Vancomycin and then subsequent Levofloxacin for the Citrobacter and Mycoplasma as well .	long term intravenous antibiotics	[TREATMENT]	69_102	the citrobacter	[PROBLEM]	184_199
TeCP	0.9864	Your antibiotics were stopped 2016-05-15 ( Vancomycin 1000mg q24 and Aztreonam 1000mg q8 ) as your micorbiology data has been negative and your course for pseudomonal sepsis has been completed .	micorbiology data	[TEST]	99_116	pseudomonal sepsis	[PROBLEM]	155_173
TeRP	0.9987	Chest x-ray showed right upper lobe pneumonia .	chest x-ray	[TEST]	0_11	right upper lobe pneumonia	[PROBLEM]	19_45
TeCP	0.9843	She was evaluated by Dr. Mielke , a Pulmonologist , who found her to be wheezing and performed pulmonary function tests which showed an FEV1 of 1.1 and an FVC of 1.8 .	an fev1	[TEST]	133_140	wheezing	[PROBLEM]	72_80
TeRP	0.9989	Vascular examination was notable for 1+ carotid impulses which were diminished and delayed and the above mentioned transmitted cardiac murmurs .	vascular examination	[TEST]	0_20	1+ carotid impulses	[PROBLEM]	37_56
TrCP	0.9911	However , tube placement was complicated by renal artery puncture , afib , and increased dyspnea .	tube placement	[TREATMENT]	10_24	renal artery puncture	[PROBLEM]	44_65
TrNAP	0.9659	No lotions , creams or powders to incisions .	powders	[TREATMENT]	23_30	incisions	[PROBLEM]	34_43
TrNAP	0.8043	He received a partial HD session , limited by hypotension .	a partial hd session	[TREATMENT]	12_32	hypotension	[PROBLEM]	46_57
PIP	0.9996	Mr. Lockley is a 73 yo male with a complicated past medical history , recently discharged from St. Margaret 's Center for Women & Infants on 08-02 following a prolonged admission for STEMI , respiratory failure felt secondary to pulmonary edema requiring intubation and subsequent tracheostomy 02-22 failure to wean , sepsis and C.difficile colitis treated with Vancomycin and Flagyl with a course of Levophed .	respiratory failure	[PROBLEM]	191_210	pulmonary edema	[PROBLEM]	229_244
TeRP	0.9987	Blood cultures returned positive with GPC in pairs and clusters , so a TTE and surveillance cultures were ordered and vancomycin was started .	blood cultures	[TEST]	0_14	gpc in pairs and clusters	[PROBLEM]	38_63
PIP	0.9997	He also had a penetrating injury to the right eye , which had rendered him blind 10 years previously .	a penetrating injury to the right eye	[PROBLEM]	12_49	blind	[PROBLEM]	75_80
TrAP	0.6584	# ESRD : etiology likely 02-08 DM and HTN , pt tolerating HD well , and underwent dialysis without difficulty on 01-24 .	dialysis	[TREATMENT]	82_90	difficulty	[PROBLEM]	99_109
TrIP	0.9716	The patient was started on Clindamycin intravenous and Cefuroxime intravenous with clearing of his fever but persistence of cough , choking , and intermittently many coarse rales in his base with no clearing by x-ray .	cefuroxime intravenous	[TREATMENT]	55_77	intermittently many coarse rales in his base	[PROBLEM]	146_190
PIP	0.9996	There was no increased warmth over this area nor is there any exudate from his wounds .	his wounds	[PROBLEM]	75_85	increased warmth	[PROBLEM]	13_29
PIP	0.9997	Left elbow , gross deformity swelling over dorsal forearm , gross deformity left wrist , no skin lacerations .	gross deformity left wrist	[PROBLEM]	60_86	left elbow , gross deformity swelling over dorsal forearm	[PROBLEM]	0_57
TrAP	0.9988	MOTRIN ( IBUPROFEN ) 600 MG PO Q6H PRN Pain , Headache , Temperature greater than :	motrin ( ibuprofen )	[TREATMENT]	0_20	pain	[PROBLEM]	39_43
TrAP	0.9945	Today , the patient was found in the bathroom and became hypoxic with saturations in the 80 s and was responsive to oxygen , but was still tachypneic without improvement and was placed on nonrebreather .	nonrebreather	[TREATMENT]	188_201	hypoxic	[PROBLEM]	57_64
TeRP	0.9989	Chest x-ray showed degenerative joint disease , an ill defined left hemi-diaphragm without air space disease .	chest x-ray	[TEST]	0_11	degenerative joint disease	[PROBLEM]	19_45
PIP	0.9997	3/6 crescendo decrescendo murmur at the right upper sternal border with radiation to the carotids .	3/6 crescendo decrescendo murmur at the right upper sternal border	[PROBLEM]	0_66	radiation to the carotids	[PROBLEM]	72_97
TrAP	0.9977	Give on an empty stomach ( give 1hr before or 2hr after food ) SINGULAIR ( MONTELUKAST ) 10 MG PO BEDTIME ADVAIR DISKUS 500/50 ( FLUTICASONE PROPIONATE/... ) 1 PUFF INH BID CALTRATE + D 1 TAB PO BID LANTUS ( INSULIN GLARGINE ) 35 UNITS SC QAM DUONEB ( ALBUTEROL AND IPRATROPIUM NEBULIZER ) 3/0.5 MG NEB Q6H Starting Today ( 03/17 ) PRN Shortness of Breath , Wheezing NOVOLOG ( INSULIN ASPART ) 4 UNITS SC AC	duoneb ( albuterol and ipratropium nebulizer )	[TREATMENT]	243_289	shortness of breath	[PROBLEM]	336_355
TrAP	0.9991	The patient &apos;s only post-Surgical Intensive Care Unit course was remarkable for hypertension requiring Nipride and bleeding which was controlled with fresh frozen plasma , platelets .	nipride	[TREATMENT]	108_115	hypertension	[PROBLEM]	85_97
TeRP	0.9989	The musculoskeletal exam showed well developed , symmetrical muscular development with no fasciculations , no joint erythema , no effusions .	the musculoskeletal exam	[TEST]	0_24	fasciculations	[PROBLEM]	90_104
TeRP	0.9988	CT of the abdomen and pelvis showed dilated colon with a large amount of fluid .	ct of the abdomen and pelvis	[TEST]	0_28	a large amount of fluid	[PROBLEM]	55_78
TeRP	0.9989	An angiogram on HD#4 showed severe tibial disease and moderate SFA disease , no DP artery was seen .	an angiogram	[TEST]	0_12	severe tibial disease	[PROBLEM]	28_49
PIP	0.9997	She also experienced increased hoarseness over the preceding months , which was due to left vocal cord paralysis .	left vocal cord paralysis	[PROBLEM]	87_112	increased hoarseness	[PROBLEM]	21_41
TrAP	0.9990	2. pacemaker placement for arrhythmia , Afibb ; during last hospitalization episodes of NSVT	pacemaker placement	[TREATMENT]	3_22	arrhythmia	[PROBLEM]	27_37
TeRP	0.9989	A postoperative MRI was obtained which revealed no remarkable findings but only post surgical changes .	a postoperative mri	[TEST]	0_19	remarkable findings	[PROBLEM]	51_70
TrIP	0.9688	In TSICU , developed MRSA pneumonia with question of aspiration , treated Zosyn --> vanc / levo --> then 2 week course of Linazolid with resolution of fevers and decreased pulmonary secretions .	linazolid	[TREATMENT]	122_131	fevers	[PROBLEM]	151_157
PIP	0.9997	EKG demonstrated NSR at 87 bpm , nl axis , nl int , LVH w/ strain pattern , no ischemic changes .	strain pattern	[PROBLEM]	59_73	lvh	[PROBLEM]	52_55
PIP	0.9997	There is luminal irregularity seen in segments of both the left and right external iliac arteries consistent with spasm .	luminal irregularity	[PROBLEM]	9_29	spasm	[PROBLEM]	114_119
PIP	0.9997	A CT abd showed 8mm obstructing stone , hydro with stranding consistent with pylonephritis .	pylonephritis	[PROBLEM]	77_90	hydro	[PROBLEM]	40_45
TrAP	0.9990	Given his high right-sided filling pressure , he was started on Lasix for diuresis and his Captopril was increased for greater afterload reduction .	greater afterload reduction	[TREATMENT]	119_146	his high right-sided filling pressure	[PROBLEM]	6_43
TrAP	0.9992	You should take a stool softener , Colace 100 mg twice daily as needed for constipation .	a stool softener	[TREATMENT]	16_32	constipation	[PROBLEM]	75_87
TrAP	0.9990	The patient was admitted for work-up of his cholestatic jaundice picture along with work-up for his pulmonary process and treatment of both .	treatment	[TREATMENT]	122_131	his cholestatic jaundice picture	[PROBLEM]	40_72
TeRP	0.9986	elevated glu on admit BMP and FSG also concurring --> follow and Lispro ; will probably need w / u as outpt	bmp	[TEST]	22_25	elevated glu	[PROBLEM]	0_12
TeRP	0.9987	Followed her sats likely due to obstructive-sleep apnea and hypoventilation .	her sats	[TEST]	9_17	hypoventilation	[PROBLEM]	60_75
PIP	0.9997	A repeat CAT scan of the sinuses with finding of progressive thickening of the left maxillary sinus and both sets of ethmoid air cells since prior study of November 9 , indicating progressive infection of Acanthamoeba and any possible superinfection with bacterial sinusitis .	progressive thickening of the left maxillary sinus	[PROBLEM]	49_99	progressive infection of acanthamoeba	[PROBLEM]	180_217
PIP	0.9997	Bloody drainage from his increasingly distended abdomen was noted .	bloody drainage	[PROBLEM]	0_15	his increasingly distended abdomen	[PROBLEM]	21_55
PIP	0.9997	A fluid collection external to the fascia consistent with site of erythema .	erythema	[PROBLEM]	66_74	a fluid collection external to the fascia	[PROBLEM]	0_41
TrIP	0.9709	3. a.fib - The patient has a history of atrial fibrillation controlled with beta blockers at home .	beta blockers	[TREATMENT]	76_89	a.fib	[PROBLEM]	3_8
TeCP	0.9871	Infectious Disease consultation was obtained for evaluation of his purulent sputum and the patient was covered with Vancomycin , Ceftazidime and Gentamicin .	evaluation	[TEST]	49_59	his purulent sputum	[PROBLEM]	63_82
PIP	0.9996	She has had lower extremity edema for thelast several years with multiple episodes of cellulitis .	cellulitis	[PROBLEM]	86_96	lower extremity edema	[PROBLEM]	12_33
PIP	0.9996	Call with any spiking fevers , leakage from your head wound , increase in headaches , confusion , blurry vision severe neck stiffness , redness , swelling , or discharge around your wound site	leakage	[PROBLEM]	31_38	your head wound	[PROBLEM]	44_59
TrAP	0.9977	1. Breast cancer left side diagnosed in 1982 status post 1995 mastectomy with 5 out of 9 positive lymph nodes .	mastectomy	[TREATMENT]	62_72	breast cancer left side	[PROBLEM]	3_26
TrAP	0.9991	Dr. Falccouette would like to perform an excision and closure flap of her left ischial decubitusin the near future .	closure flap	[TREATMENT]	54_66	her left ischial decubitusin	[PROBLEM]	70_98
TeCP	0.9824	A trivial / physiologic pericardial effusion one day post pericardiocentesis with no change from the study immediately post pericardiocentesis .	the study	[TEST]	97_106	a trivial / physiologic pericardial effusion	[PROBLEM]	0_44
TrAP	0.9985	5. Cocaine use : last use this morning , no BB given this ; considered using CCB / phentolamine if chest pain recurs .	phentolamine	[TREATMENT]	83_95	chest pain	[PROBLEM]	99_109
TeRP	0.9989	Chest x-ray - Showed a left paratracheal adenopathy and small left pleural effusion with no evidence of pneumonia .	chest x-ray	[TEST]	0_11	small left pleural effusion	[PROBLEM]	56_83
TeRP	0.9988	Extremity examination revealed no clubbing , cyanosis , or edema .	extremity examination	[TEST]	0_21	cyanosis	[PROBLEM]	45_53
TeRP	0.9987	This is a 48-year-old G 3 P 3 who presented to Dr. Fuscmadril &apos;s clinic after having an abnormal pap smear followed by an endometrial biopsy that was suggestive of grade 1 endometrial cancer .	an endometrial biopsy	[TEST]	124_145	grade 1 endometrial cancer	[PROBLEM]	169_195
TeRP	0.9985	Vancomycin , Flagyl , and Aztreonam were given for gram negative Coccobacilli ( later identified as Bacteroides ) that had grown in his blood cultures and gram negative rods ( Enterobacter ) in his peritoneal fluid .	his blood cultures	[TEST]	132_150	gram negative coccobacilli	[PROBLEM]	51_77
TeRP	0.9989	A computerized axial tomography scan of his head at that time did not reveal any extra or intracranial hemorrhage .	a computerized axial tomography scan of his head	[TEST]	0_48	any extra or intracranial hemorrhage	[PROBLEM]	77_113
TrAP	0.9991	1. Sepsis / ID- Started on sepsis protocol .	sepsis protocol	[TREATMENT]	27_42	sepsis	[PROBLEM]	3_9
TrAP	0.9992	Given her fevers and shortness of breath the patient was treated with broad spectrum antibiotics initially started on Ceptaz , Levaquin and __________ and Clindamycin .	clindamycin	[TREATMENT]	155_166	her fevers	[PROBLEM]	6_16
TrAP	0.9993	The patient has been treated with Argon laser therapy in the past for his rectal bleeding and it is recommended that he follow up with his gastroenterologist for repeat Argon laser therapy .	argon laser therapy	[TREATMENT]	34_53	his rectal bleeding	[PROBLEM]	70_89
TeRP	0.9989	A chest x-ray was done , which revealed no infiltrate or effusion .	a chest x-ray	[TEST]	0_13	infiltrate	[PROBLEM]	43_53
TeRP	0.9988	For this , a CT angiogram was obtained which demonstrated no pulmonary embolism .	a ct angiogram	[TEST]	11_25	pulmonary embolism	[PROBLEM]	61_79
TeRP	0.9989	Electrocardiogram showed sinus tachycardia at 115 with a normal axis , intermittent Q wave in III; a wavy baseline .	electrocardiogram	[TEST]	0_17	a wavy baseline	[PROBLEM]	99_114
TeRP	0.9988	An ECHO did not reveal any wall motion abnormalities related to ischemia .	an echo	[TEST]	0_7	any wall motion abnormalities	[PROBLEM]	23_52
TrAP	0.9990	--- incentive spirometry for atelectasis	incentive spirometry	[TREATMENT]	4_24	atelectasis	[PROBLEM]	29_40
TrAP	0.9991	Initially treated with intravenous ceftizoxime , gentamicin , and Flagyl for presumed sepsis , either with urine or bowel source .	flagyl	[TREATMENT]	66_72	sepsis	[PROBLEM]	86_92
PIP	0.9997	Head CT repeated on 03-30 was unchanged , and the patient remained stable with only very suble focal exam findings ( very mild right pronator drift ) as well as his persistently poor memory related to dementia .	his persistently poor memory	[PROBLEM]	161_189	dementia	[PROBLEM]	201_209
PIP	0.9997	Sigmoid diverticulosis with focal narrowing of the sigmoid colon just distal to the dilatation with wall thickening , due to diverticulitis .	the dilatation	[PROBLEM]	80_94	wall thickening	[PROBLEM]	100_115
TrAP	0.9990	She was maintained on an epidural and PCA for pain control .	pca	[TREATMENT]	38_41	pain control	[PROBLEM]	46_58
TrAP	0.9988	The initial bandemia would not have been consistent with a typical influenza presentation , so she was continued on a fourteen day course of Levaquin to eliminate any possibility of a bacterial superinfection or early pneumonia .	levaquin	[TREATMENT]	141_149	early pneumonia	[PROBLEM]	212_227
TeRP	0.9987	Has low grade fever since chemo but otherwise ROS was neg for shaking chills , chest pain , SOB , coughing , constipation , diarrhea , tarry stools , abd pain .	ros	[TEST]	46_49	shaking chills	[PROBLEM]	62_76
TrAP	0.9711	The patient tolerated the procedure well with a 2000 cc. blood loss and was autotransfused two units of blood .	blood	[TREATMENT]	104_109	a 2000 cc. blood loss	[PROBLEM]	46_67
TeRP	0.9986	A neurologic work-up was undertaken which included a CT scan of the head which revealed no acute bleed and a lumbar puncture which revealed a glucose of 72 , protein 65 , white blood cell count 19 , red blood cell count 11,500 with no evidence of xanthrochromasia .	a lumbar puncture	[TEST]	107_124	xanthrochromasia	[PROBLEM]	247_263
TeRP	0.9983	05-11- Stool : negative for Cdiff toxin	stool	[TEST]	7_12	cdiff toxin	[PROBLEM]	28_39
TrAP	0.9991	11. Oxycodone 5 mg Tablet Sig : One ( 1 ) Tablet PO Q4-6H ( every 4 to 6 hours ) as needed for pain .	oxycodone	[TREATMENT]	4_13	pain	[PROBLEM]	95_99
TrAP	0.9992	After the wound was further opened , he was started on ampicillin , Gentamicin , and Flagyl antibiotics and he was placed on a bid dressing change and packing .	gentamicin	[TREATMENT]	68_78	the wound	[PROBLEM]	6_15
TeRP	0.9989	An echocardiogram performed at the outside hospital while he was septic showed decreased global EF .	an echocardiogram	[TEST]	0_17	decreased global ef	[PROBLEM]	79_98
PIP	0.9997	EKG demonstrated normal sinus rhythm , rate of 73 , borderline left atrial enlargement , axis of-28 , T-wave inversions in V4 through V6 , I and aVL , borderline left ventricular hypertrophy with strain compared to earlier this AM .	borderline left ventricular hypertrophy	[PROBLEM]	151_190	strain	[PROBLEM]	196_202
TrAP	0.9992	2. CHF : EF 25% on Echo , states he takes lasix at home	lasix	[TREATMENT]	42_47	chf	[PROBLEM]	3_6
PIP	0.9997	57 y/o F with multiple medical problems including polyendocrine deficiency comprised of adrenal insufficiency , DM , premature ovarian failure , hypoparathyroidism , addison 's disease and also breast CA and depression with multiple suicide attempts in the past who originally presented s/p tylenol with codeine overdose and hypotension , was intubated and admitted to the FICU .	multiple medical problems	[PROBLEM]	14_39	dm	[PROBLEM]	112_114
